planning_unit_name,LTWPShortName,env_obj,Objective,Target,state,SWSDLName
Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,V-PF2,"To increase the population size, with an appropriate age structure, and the diversity of native fish species, in the connected mid and lower Loddon River System",Native Fish,Vic,Loddon
Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,V-PF2.1,"Increase population size and diversity (with appropriate age structure) of small-bodied native fish species including Murray-Darling Rainbowfish, Flathead Gudgeon, Carp Gudgeon, and Australian Smelt.",Native Fish,Vic,Loddon
Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,V-PF2.2,Enhance natural recruitment of Murray Cod population and allow fish to disperse and colonise suitable habitats in the Mid-Murray floodplain system.,Native Fish,Vic,Loddon
Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,V-PF2.3,Extend available critical habitat to facilitate recolonisation of large bodied fish such as Silver Perch and Golden Perch populations in the Mid-Murray floodplain system,Native Fish,Vic,Loddon
Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,V-PP1 ,Increase size of resident breeding Platypus populations and facilitate dispersal of surplus juveniles that can colonise other reaches of the Loddon River and connected catchments.,Other Species,Vic,Loddon
Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,V-PV1,"Maintain adult riparian woody vegetation (e.g. River Red Gum, Black Box, Bottlebrush, Tea Tree, Melaleuca and Tangled Lignum species composition will vary between reaches) and facilitate recruitment adjacent to the river channel and in low lying floodplain areas that are watered via floodrunners",Native Vegetation,Vic,Loddon
Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,V-PV2,"Maintain low lying floodplain vegetation communities. These communities are characterised by a River Red Gum overstorey and grassy, sedge or lignum understorey.",Native Vegetation,Vic,Loddon
Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,V-SV1,Maintain and increase spatial extent of in-stream vegetation,Native Vegetation,Vic,Loddon
Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,V-SV2,Increase diversity and appropriate spatial extent of native emergent fringing non-woody vegetation along the banks and in floodrunners or anabranches.,Native Vegetation,Vic,Loddon
Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,V-SV3,"Maintain biofilm productivity, especially on coarse woody debris.",Native Vegetation,Vic,Loddon
Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,V-SB1,"Maintain or Increase aquatic biota such as Freshwater turtles, native frogs and water rats",Other Species,Vic,Loddon
Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,V-SM1,Maintain or increase diversity and productivity of macroinvertebrates and macroinvertebrate functional feeding groups to drive productive and dynamic foodwebs.,Ecosystem Functions,Vic,Loddon
Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,V-SWQ1,"Maintain water quality at a level that is able to support fish and macroinvertebrates. In particular maintain adequate concentrations of dissolved oxygen, prevent salinity levels rising above 3,000 EC and prevent excessive water temperatures during low flow periods.",Ecosystem Functions,Vic,Loddon
Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,V-SG1,"Re-establish deep pools in areas that have been affected by sand slugs, maintain existing pools in other areas and replenish benches within the channel.",Ecosystem Functions,Vic,Loddon
Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,V-SG2,"Flush accumulated silt and sediment from substrates including rocks, submerged wood and macrophytes",Ecosystem Functions,Vic,Loddon
Pyramid Creek at Whole Creek,Loddon River EWMP,V-PF1,"To increase the population size, with an appropriate age structure, of native fish species in the impounded Loddon River System reaches",Native Fish,Vic,Loddon
Pyramid Creek at Whole Creek,Loddon River EWMP,V-PF1.1,Increase population size (with appropriate age structure) and distribution of River Blackfish and facilitate re-colonisation of Reach 1 via Laanecoorie Reservoir.,Native Fish,Vic,Loddon
Pyramid Creek at Whole Creek,Loddon River EWMP,V-PF1.2,"Enhance natural recruitment and dispersal of stocked Murray Cod populations in disconnected impoundments e.g. Laanecoorie Reservoir, Serpentine Weir pool, Loddon Weir pool, and large pools between Laanecoorie Reservoir and Serpentine Creek (Durham Ox weir pool).",Native Fish,Vic,Loddon
Pyramid Creek at Whole Creek,Loddon River EWMP,V-PF1.3,"Maintain habitat for stocked populations of Golden Perch in disconnected reaches e.g. Laanecoorie Reservoir, Serpentine Weir pool, Loddon Weir pool, and large pools between Laanecoorie Reservoir and Serpentine Creek",Native Fish,Vic,Loddon
Pyramid Creek at Whole Creek,Loddon River EWMP,V-PF1.4,"Increase population size (with appropriate age structure) of small-bodied native fish species including Murray-Darling Rainbowfish, Flathead Gudgeon, Carp Gudgeon, and Australian Smelt.",Native Fish,Vic,Loddon
Pyramid Creek at Whole Creek,Loddon River EWMP,V-PF2,"To increase the population size, with an appropriate age structure, and the diversity of native fish species, in the connected mid and lower Loddon River System",Native Fish,Vic,Loddon
Pyramid Creek at Whole Creek,Loddon River EWMP,V-PF2.1,"Increase population size and diversity (with appropriate age structure) of small-bodied native fish species including Murray-Darling Rainbowfish, Flathead Gudgeon, Carp Gudgeon, and Australian Smelt.",Native Fish,Vic,Loddon
Pyramid Creek at Whole Creek,Loddon River EWMP,V-PF2.2,Enhance natural recruitment of Murray Cod population and allow fish to disperse and colonise suitable habitats in the Mid-Murray floodplain system.,Native Fish,Vic,Loddon
Pyramid Creek at Whole Creek,Loddon River EWMP,V-PF2.3,Extend available critical habitat to facilitate recolonisation of large bodied fish such as Silver Perch and Golden Perch populations in the Mid-Murray floodplain system,Native Fish,Vic,Loddon
Pyramid Creek at Whole Creek,Loddon River EWMP,V-PP1 ,Increase size of resident breeding Platypus populations and facilitate dispersal of surplus juveniles that can colonise other reaches of the Loddon River and connected catchments.,Other Species,Vic,Loddon
Pyramid Creek at Whole Creek,Loddon River EWMP,V-PV1,"Maintain adult riparian woody vegetation (e.g. River Red Gum, Black Box, Bottlebrush, Tea Tree, Melaleuca and Tangled Lignum species composition will vary between reaches) and facilitate recruitment adjacent to the river channel and in low lying floodplain areas that are watered via floodrunners",Native Vegetation,Vic,Loddon
Pyramid Creek at Whole Creek,Loddon River EWMP,V-PV2,"Maintain low lying floodplain vegetation communities. These communities are characterised by a River Red Gum overstorey and grassy, sedge or lignum understorey.",Native Vegetation,Vic,Loddon
Pyramid Creek at Whole Creek,Loddon River EWMP,V-SV1,Maintain and increase spatial extent of in-stream vegetation,Native Vegetation,Vic,Loddon
Pyramid Creek at Whole Creek,Loddon River EWMP,V-SV2,Increase diversity and appropriate spatial extent of native emergent fringing non-woody vegetation along the banks and in floodrunners or anabranches.,Native Vegetation,Vic,Loddon
Pyramid Creek at Whole Creek,Loddon River EWMP,V-SV3,"Maintain biofilm productivity, especially on coarse woody debris.",Native Vegetation,Vic,Loddon
Pyramid Creek at Whole Creek,Loddon River EWMP,V-SB1,"Maintain or Increase aquatic biota such as Freshwater turtles, native frogs and water rats",Other Species,Vic,Loddon
Pyramid Creek at Whole Creek,Loddon River EWMP,V-SM1,Maintain or increase diversity and productivity of macroinvertebrates and macroinvertebrate functional feeding groups to drive productive and dynamic foodwebs.,Ecosystem Functions,Vic,Loddon
Pyramid Creek at Whole Creek,Loddon River EWMP,V-SWQ1,"Maintain water quality at a level that is able to support fish and macroinvertebrates. In particular maintain adequate concentrations of dissolved oxygen, prevent salinity levels rising above 3,000 EC and prevent excessive water temperatures during low flow periods.",Ecosystem Functions,Vic,Loddon
Pyramid Creek at Whole Creek,Loddon River EWMP,V-SG1,"Re-establish deep pools in areas that have been affected by sand slugs, maintain existing pools in other areas and replenish benches within the channel.",Ecosystem Functions,Vic,Loddon
Pyramid Creek at Whole Creek,Loddon River EWMP,V-SG2,"Flush accumulated silt and sediment from substrates including rocks, submerged wood and macrophytes",Ecosystem Functions,Vic,Loddon
Birchs Creek Reach 2,Birch Creek EWMP,V-P1,"Increase abundance and diversity of native fish such as River Blackfish, Mountain Galaxias, Flatheaded Gudgeon and Australian Smelt",Native Fish,Vic,Loddon
Birchs Creek Reach 2,Birch Creek EWMP,V-P2,Provide conditions that consistently support widespread successful breeding by Platypus to increase population resilience to future drought and floods and to provide surplus juveniles that can disperse to Creswick Creek and Tullaroop Creek,Other Species,Vic,Loddon
Birchs Creek Reach 2,Birch Creek EWMP,V-S1,"Maintain and increase overall abundance, diversity and productivity of macroinvertebrates and macroinvertebrate functional feeding groups to drive productive and dynamic food webs",Ecosystem Functions,Vic,Loddon
Birchs Creek Reach 2,Birch Creek EWMP,V-S2,Provide habitat and flow conditions that will allow River Blackfish to re-establish in Reaches 1 and 2,Native Fish,Vic,Loddon
Birchs Creek Reach 2,Birch Creek EWMP,V-S3,Maintain water quality that is able to support aquatic biota and ecological processes,Ecosystem Functions,Vic,Loddon
Birchs Creek Reach 2,Birch Creek EWMP,V-S4,Maintain (Reach 3) and improve (Reaches 1 and 2) diversity and abundance of instream aquatics,Native Vegetation,Vic,Loddon
Birchs Creek Reach 2,Birch Creek EWMP,V-S5,Reduce dominance of exotic instream aquatics such as Elodea (especially in Reaches 1 and 2),Native Vegetation,Vic,Loddon
Birchs Creek Reach 2,Birch Creek EWMP,V-S6,Maintain and improve abundance and diversity of emergent fringing vegetation,Native Vegetation,Vic,Loddon
Birchs Creek Reach 2,Birch Creek EWMP,V-S7,"Maintain (Reach 3) and restore (Reaches 1 and 2) adult riparian woody vegetation (e.g. Swamp Gum, Manna Gum, River Red Gum) and facilitate recruitment.",Native Vegetation,Vic,Loddon
Gunbower Forest,Gunbower Forest EWMP,V-NV1,Increase area of healthy permanent and semi permanent wetlands,Native Vegetation,Vic,Vic Murray
Gunbower Forest,Gunbower Forest EWMP,V-NV2,Ensure maintenance of healthy river red gum communities,Native Vegetation,Vic,Vic Murray
Gunbower Forest,Gunbower Forest EWMP,V-NV3,Maintain black box and grey box communities,Native Vegetation,Vic,Vic Murray
Gunbower Forest,Gunbower Forest EWMP,V-WB1,"Provide suitable feeding, breeding and refuge habitat for waterbirds, including colonial nesting species",Waterbirds,Vic,Vic Murray
Gunbower Forest,Gunbower Forest EWMP,V-NF1,Maintain healthy populations of native fish in wetlands and increase opportunities for riverine fish to access floodplain resources,Native Fish,Vic,Vic Murray
Gunbower Forest,Gunbower Forest EWMP,V-OS1,Increase the diversity and abundance of native frog species within the forest,Other Species,Vic,Vic Murray
Gunbower creek reach 1,Gunbower creek system EWMP,V-1.1,Increase the abundance and improve age class distribution of small and large-bodied native fish species,Native Fish,Vic,Vic Murray
Gunbower creek reach 1,Gunbower creek system EWMP,V-1.2,"Increase connectivity to promote movement or migration of native fish species within the lagoons, floodplain and Murray River",Native Fish,Vic,Vic Murray
Gunbower creek reach 1,Gunbower creek system EWMP,V-1.3,Rehabilitate populations of native fish species that are poorly represented or absent in the system,Native Fish,Vic,Vic Murray
Gunbower creek reach 1,Gunbower creek system EWMP,V-1.4,"Increase littoral and aquatic vegetation extent, diversity and productivity",Native Vegetation,Vic,Vic Murray
Gunbower creek reach 1,Gunbower creek system EWMP,V-1.5,Increase the size of the resident breeding population of Platypus,Other Species,Vic ,Vic Murray
Gunbower creek reach 1,Gunbower creek system EWMP,V-1.6,Maintain feeding and breeding opportunities for turtles,Other Species,Vic,Vic Murray
Gunbower creek reach 1,Gunbower creek system EWMP,V-1.7,Maintain feeding and opportunistic breeding conditions for a diversity of waterbirds ,Waterbirds,Vic ,Vic Murray
Gunbower creek reach 1,Gunbower creek system EWMP,V-1.8,Maintain feeding and breeding opportunities for frogs,Other Species,Vic,Vic Murray
Gunbower creek reach 1,Gunbower creek system EWMP,V-1.9,"Restore connectivity between the creek, lagoons and their associated riparian zones",Ecosystem Functions,Vic,Vic Murray
Gunbower creek reach 2,Gunbower creek system EWMP,V-1.1,Increase the abundance and improve age class distribution of small and large-bodied native fish species,Native Fish,Vic,Vic Murray
Gunbower creek reach 2,Gunbower creek system EWMP,V-1.2,"Increase connectivity to promote movement or migration of native fish species within the lagoons, floodplain and Murray River",Native Fish,Vic,Vic Murray
Gunbower creek reach 2,Gunbower creek system EWMP,V-1.3,Rehabilitate populations of native fish species that are poorly represented or absent in the system,Native Fish,Vic,Vic Murray
Gunbower creek reach 2,Gunbower creek system EWMP,V-1.4,"Increase littoral and aquatic vegetation extent, diversity and productivity",Native Vegetation,Vic,Vic Murray
Gunbower creek reach 2,Gunbower creek system EWMP,V-1.5,Increase the size of the resident breeding population of Platypus,Other Species,Vic ,Vic Murray
Gunbower creek reach 2,Gunbower creek system EWMP,V-1.6,Maintain feeding and breeding opportunities for turtles,Other Species,Vic,Vic Murray
Gunbower creek reach 2,Gunbower creek system EWMP,V-1.7,Maintain feeding and opportunistic breeding conditions for a diversity of waterbirds ,Waterbirds,Vic ,Vic Murray
Gunbower creek reach 2,Gunbower creek system EWMP,V-1.8,Maintain feeding and breeding opportunities for frogs,Other Species,Vic,Vic Murray
Gunbower creek reach 2,Gunbower creek system EWMP,V-1.9,"Restore connectivity between the creek, lagoons and their associated riparian zones",Ecosystem Functions,Vic,Vic Murray
Gunbower creek reach 3a,Gunbower creek system EWMP,V-1.1,Increase the abundance and improve age class distribution of small and large-bodied native fish species,Native Fish,Vic,Vic Murray
Gunbower creek reach 3a,Gunbower creek system EWMP,V-1.2,"Increase connectivity to promote movement or migration of native fish species within the lagoons, floodplain and Murray River",Native Fish,Vic,Vic Murray
Gunbower creek reach 3a,Gunbower creek system EWMP,V-1.3,Rehabilitate populations of native fish species that are poorly represented or absent in the system,Native Fish,Vic,Vic Murray
Gunbower creek reach 3a,Gunbower creek system EWMP,V-1.4,"Increase littoral and aquatic vegetation extent, diversity and productivity",Native Vegetation,Vic,Vic Murray
Gunbower creek reach 3a,Gunbower creek system EWMP,V-1.5,Increase the size of the resident breeding population of Platypus,Other Species,Vic ,Vic Murray
Gunbower creek reach 3a,Gunbower creek system EWMP,V-1.6,Maintain feeding and breeding opportunities for turtles,Other Species,Vic,Vic Murray
Gunbower creek reach 3a,Gunbower creek system EWMP,V-1.7,Maintain feeding and opportunistic breeding conditions for a diversity of waterbirds ,Waterbirds,Vic ,Vic Murray
Gunbower creek reach 3a,Gunbower creek system EWMP,V-1.8,Maintain feeding and breeding opportunities for frogs,Other Species,Vic,Vic Murray
Gunbower creek reach 3a,Gunbower creek system EWMP,V-1.9,"Restore connectivity between the creek, lagoons and their associated riparian zones",Ecosystem Functions,Vic,Vic Murray
Gunbower creek reach 3b,Gunbower creek system EWMP,V-1.1,Increase the abundance and improve age class distribution of small and large-bodied native fish species,Native Fish,Vic,Vic Murray
Gunbower creek reach 3b,Gunbower creek system EWMP,V-1.2,"Increase connectivity to promote movement or migration of native fish species within the lagoons, floodplain and Murray River",Native Fish,Vic,Vic Murray
Gunbower creek reach 3b,Gunbower creek system EWMP,V-1.3,Rehabilitate populations of native fish species that are poorly represented or absent in the system,Native Fish,Vic,Vic Murray
Gunbower creek reach 3b,Gunbower creek system EWMP,V-1.4,"Increase littoral and aquatic vegetation extent, diversity and productivity",Native Vegetation,Vic,Vic Murray
Gunbower creek reach 3b,Gunbower creek system EWMP,V-1.5,Increase the size of the resident breeding population of Platypus,Other Species,Vic ,Vic Murray
Gunbower creek reach 3b,Gunbower creek system EWMP,V-1.6,Maintain feeding and breeding opportunities for turtles,Other Species,Vic,Vic Murray
Gunbower creek reach 3b,Gunbower creek system EWMP,V-1.7,Maintain feeding and opportunistic breeding conditions for a diversity of waterbirds ,Waterbirds,Vic ,Vic Murray
Gunbower creek reach 3b,Gunbower creek system EWMP,V-1.8,Maintain feeding and breeding opportunities for frogs,Other Species,Vic,Vic Murray
Gunbower creek reach 3b,Gunbower creek system EWMP,V-1.9,"Restore connectivity between the creek, lagoons and their associated riparian zones",Ecosystem Functions,Vic,Vic Murray
